DateTime,Cost
2023-03-01 00:00:00,74.57279569892471
2023-03-01 01:00:00,74.57279569892471
2023-03-01 02:00:00,74.57279569892471
2023-03-01 03:00:00,74.57279569892471
2023-03-01 04:00:00,74.57279569892471
2023-03-01 05:00:00,74.57279569892471
2023-03-01 06:00:00,74.57279569892471
2023-03-01 07:00:00,74.57279569892471
2023-03-01 08:00:00,74.57279569892471
2023-03-01 09:00:00,74.57279569892471
2023-03-01 10:00:00,74.57279569892471
2023-03-01 11:00:00,74.57279569892471
2023-03-01 12:00:00,74.57279569892471
2023-03-01 13:00:00,74.57279569892471
2023-03-01 14:00:00,74.57279569892471
2023-03-01 15:00:00,74.57279569892471
2023-03-01 16:00:00,74.57279569892471
2023-03-01 17:00:00,74.57279569892471
2023-03-01 18:00:00,74.57279569892471
2023-03-01 19:00:00,74.57279569892471
2023-03-01 20:00:00,74.57279569892471
2023-03-01 21:00:00,74.57279569892471
2023-03-01 22:00:00,74.57279569892471
2023-03-01 23:00:00,74.57279569892471
2023-03-02 00:00:00,74.57279569892471
2023-03-02 01:00:00,74.57279569892471
2023-03-02 02:00:00,74.57279569892471
2023-03-02 03:00:00,74.57279569892471
2023-03-02 04:00:00,74.57279569892471
2023-03-02 05:00:00,74.57279569892471
2023-03-02 06:00:00,74.57279569892471
2023-03-02 07:00:00,74.57279569892471
2023-03-02 08:00:00,74.57279569892471
2023-03-02 09:00:00,74.57279569892471
2023-03-02 10:00:00,74.57279569892471
2023-03-02 11:00:00,74.57279569892471
2023-03-02 12:00:00,74.57279569892471
2023-03-02 13:00:00,74.57279569892471
2023-03-02 14:00:00,74.57279569892471
2023-03-02 15:00:00,74.57279569892471
2023-03-02 16:00:00,74.57279569892471
2023-03-02 17:00:00,74.57279569892471
2023-03-02 18:00:00,74.57279569892471
2023-03-02 19:00:00,74.57279569892471
2023-03-02 20:00:00,74.57279569892471
2023-03-02 21:00:00,74.57279569892471
2023-03-02 22:00:00,74.57279569892471
2023-03-02 23:00:00,74.57279569892471
2023-03-03 00:00:00,74.57279569892471
2023-03-03 01:00:00,74.57279569892471
2023-03-03 02:00:00,74.57279569892471
2023-03-03 03:00:00,74.57279569892471
2023-03-03 04:00:00,74.57279569892471
2023-03-03 05:00:00,74.57279569892471
2023-03-03 06:00:00,74.57279569892471
2023-03-03 07:00:00,74.57279569892471
2023-03-03 08:00:00,74.57279569892471
2023-03-03 09:00:00,74.57279569892471
2023-03-03 10:00:00,74.57279569892471
2023-03-03 11:00:00,74.57279569892471
2023-03-03 12:00:00,74.57279569892471
2023-03-03 13:00:00,74.57279569892471
2023-03-03 14:00:00,74.57279569892471
2023-03-03 15:00:00,74.57279569892471
2023-03-03 16:00:00,74.57279569892471
2023-03-03 17:00:00,74.57279569892471
2023-03-03 18:00:00,74.57279569892471
2023-03-03 19:00:00,74.57279569892471
2023-03-03 20:00:00,74.57279569892471
2023-03-03 21:00:00,74.57279569892471
2023-03-03 22:00:00,74.57279569892471
2023-03-03 23:00:00,74.57279569892471
2023-03-04 00:00:00,74.57279569892471
2023-03-04 01:00:00,74.57279569892471
2023-03-04 02:00:00,74.57279569892471
2023-03-04 03:00:00,74.57279569892471
2023-03-04 04:00:00,74.57279569892471
2023-03-04 05:00:00,74.57279569892471
2023-03-04 06:00:00,74.57279569892471
2023-03-04 07:00:00,74.57279569892471
2023-03-04 08:00:00,74.57279569892471
2023-03-04 09:00:00,74.57279569892471
2023-03-04 10:00:00,74.57279569892471
2023-03-04 11:00:00,74.57279569892471
2023-03-04 12:00:00,74.57279569892471
2023-03-04 13:00:00,74.57279569892471
2023-03-04 14:00:00,74.57279569892471
2023-03-04 15:00:00,74.57279569892471
2023-03-04 16:00:00,74.57279569892471
2023-03-04 17:00:00,74.57279569892471
2023-03-04 18:00:00,74.57279569892471
2023-03-04 19:00:00,74.57279569892471
2023-03-04 20:00:00,74.57279569892471
2023-03-04 21:00:00,74.57279569892471
2023-03-04 22:00:00,74.57279569892471
2023-03-04 23:00:00,74.57279569892471
2023-03-05 00:00:00,74.57279569892471
2023-03-05 01:00:00,74.57279569892471
2023-03-05 02:00:00,74.57279569892471
2023-03-05 03:00:00,74.57279569892471
2023-03-05 04:00:00,74.57279569892471
2023-03-05 05:00:00,74.57279569892471
2023-03-05 06:00:00,74.57279569892471
2023-03-05 07:00:00,74.57279569892471
2023-03-05 08:00:00,74.57279569892471
2023-03-05 09:00:00,74.57279569892471
2023-03-05 10:00:00,74.57279569892471
2023-03-05 11:00:00,74.57279569892471
2023-03-05 12:00:00,74.57279569892471
2023-03-05 13:00:00,74.57279569892471
2023-03-05 14:00:00,74.57279569892471
2023-03-05 15:00:00,74.57279569892471
2023-03-05 16:00:00,74.57279569892471
2023-03-05 17:00:00,74.57279569892471
2023-03-05 18:00:00,74.57279569892471
2023-03-05 19:00:00,74.57279569892471
2023-03-05 20:00:00,74.57279569892471
2023-03-05 21:00:00,74.57279569892471
2023-03-05 22:00:00,74.57279569892471
2023-03-05 23:00:00,74.57279569892471
2023-03-06 00:00:00,74.57279569892471
2023-03-06 01:00:00,74.57279569892471
2023-03-06 02:00:00,74.57279569892471
2023-03-06 03:00:00,74.57279569892471
2023-03-06 04:00:00,74.57279569892471
2023-03-06 05:00:00,74.57279569892471
2023-03-06 06:00:00,74.57279569892471
2023-03-06 07:00:00,74.57279569892471
2023-03-06 08:00:00,74.57279569892471
2023-03-06 09:00:00,74.57279569892471
2023-03-06 10:00:00,74.57279569892471
2023-03-06 11:00:00,74.57279569892471
2023-03-06 12:00:00,74.57279569892471
2023-03-06 13:00:00,74.57279569892471
2023-03-06 14:00:00,74.57279569892471
2023-03-06 15:00:00,74.57279569892471
2023-03-06 16:00:00,74.57279569892471
2023-03-06 17:00:00,74.57279569892471
2023-03-06 18:00:00,74.57279569892471
2023-03-06 19:00:00,74.57279569892471
2023-03-06 20:00:00,74.57279569892471
2023-03-06 21:00:00,74.57279569892471
2023-03-06 22:00:00,74.57279569892471
2023-03-06 23:00:00,74.57279569892471
2023-03-07 00:00:00,74.57279569892471
2023-03-07 01:00:00,74.57279569892471
2023-03-07 02:00:00,74.57279569892471
2023-03-07 03:00:00,74.57279569892471
2023-03-07 04:00:00,74.57279569892471
2023-03-07 05:00:00,74.57279569892471
2023-03-07 06:00:00,74.57279569892471
2023-03-07 07:00:00,74.57279569892471
2023-03-07 08:00:00,74.57279569892471
2023-03-07 09:00:00,74.57279569892471
2023-03-07 10:00:00,74.57279569892471
2023-03-07 11:00:00,74.57279569892471
2023-03-07 12:00:00,74.57279569892471
2023-03-07 13:00:00,74.57279569892471
2023-03-07 14:00:00,74.57279569892471
2023-03-07 15:00:00,74.57279569892471
2023-03-07 16:00:00,74.57279569892471
2023-03-07 17:00:00,74.57279569892471
2023-03-07 18:00:00,74.57279569892471
2023-03-07 19:00:00,74.57279569892471
2023-03-07 20:00:00,74.57279569892471
2023-03-07 21:00:00,74.57279569892471
2023-03-07 22:00:00,74.57279569892471
2023-03-07 23:00:00,74.57279569892471
2023-03-08 00:00:00,74.57279569892471
2023-03-08 01:00:00,74.57279569892471
2023-03-08 02:00:00,74.57279569892471
2023-03-08 03:00:00,74.57279569892471
2023-03-08 04:00:00,74.57279569892471
2023-03-08 05:00:00,74.57279569892471
2023-03-08 06:00:00,74.57279569892471
2023-03-08 07:00:00,74.57279569892471
2023-03-08 08:00:00,74.57279569892471
2023-03-08 09:00:00,74.57279569892471
2023-03-08 10:00:00,74.57279569892471
2023-03-08 11:00:00,74.57279569892471
2023-03-08 12:00:00,74.57279569892471
2023-03-08 13:00:00,74.57279569892471
2023-03-08 14:00:00,74.57279569892471
2023-03-08 15:00:00,74.57279569892471
2023-03-08 16:00:00,74.57279569892471
2023-03-08 17:00:00,74.57279569892471
2023-03-08 18:00:00,74.57279569892471
2023-03-08 19:00:00,74.57279569892471
2023-03-08 20:00:00,74.57279569892471
2023-03-08 21:00:00,74.57279569892471
2023-03-08 22:00:00,74.57279569892471
2023-03-08 23:00:00,74.57279569892471
2023-03-09 00:00:00,74.57279569892471
2023-03-09 01:00:00,74.57279569892471
2023-03-09 02:00:00,74.57279569892471
2023-03-09 03:00:00,74.57279569892471
2023-03-09 04:00:00,74.57279569892471
2023-03-09 05:00:00,74.57279569892471
2023-03-09 06:00:00,74.57279569892471
2023-03-09 07:00:00,74.57279569892471
2023-03-09 08:00:00,74.57279569892471
2023-03-09 09:00:00,74.57279569892471
2023-03-09 10:00:00,74.57279569892471
2023-03-09 11:00:00,74.57279569892471
2023-03-09 12:00:00,74.57279569892471
2023-03-09 13:00:00,74.57279569892471
2023-03-09 14:00:00,74.57279569892471
2023-03-09 15:00:00,74.57279569892471
2023-03-09 16:00:00,74.57279569892471
2023-03-09 17:00:00,74.57279569892471
2023-03-09 18:00:00,74.57279569892471
2023-03-09 19:00:00,74.57279569892471
2023-03-09 20:00:00,74.57279569892471
2023-03-09 21:00:00,74.57279569892471
2023-03-09 22:00:00,74.57279569892471
2023-03-09 23:00:00,74.57279569892471
2023-03-10 00:00:00,74.57279569892471
2023-03-10 01:00:00,74.57279569892471
2023-03-10 02:00:00,74.57279569892471
2023-03-10 03:00:00,74.57279569892471
2023-03-10 04:00:00,74.57279569892471
2023-03-10 05:00:00,74.57279569892471
2023-03-10 06:00:00,74.57279569892471
2023-03-10 07:00:00,74.57279569892471
2023-03-10 08:00:00,74.57279569892471
2023-03-10 09:00:00,74.57279569892471
2023-03-10 10:00:00,74.57279569892471
2023-03-10 11:00:00,74.57279569892471
2023-03-10 12:00:00,74.57279569892471
2023-03-10 13:00:00,74.57279569892471
2023-03-10 14:00:00,74.57279569892471
2023-03-10 15:00:00,74.57279569892471
2023-03-10 16:00:00,74.57279569892471
2023-03-10 17:00:00,74.57279569892471
2023-03-10 18:00:00,74.57279569892471
2023-03-10 19:00:00,74.57279569892471
2023-03-10 20:00:00,74.57279569892471
2023-03-10 21:00:00,74.57279569892471
2023-03-10 22:00:00,74.57279569892471
2023-03-10 23:00:00,74.57279569892471
2023-03-11 00:00:00,74.57279569892471
2023-03-11 01:00:00,74.57279569892471
2023-03-11 02:00:00,74.57279569892471
2023-03-11 03:00:00,74.57279569892471
2023-03-11 04:00:00,74.57279569892471
2023-03-11 05:00:00,74.57279569892471
2023-03-11 06:00:00,74.57279569892471
2023-03-11 07:00:00,74.57279569892471
2023-03-11 08:00:00,74.57279569892471
2023-03-11 09:00:00,74.57279569892471
2023-03-11 10:00:00,74.57279569892471
2023-03-11 11:00:00,74.57279569892471
2023-03-11 12:00:00,74.57279569892471
2023-03-11 13:00:00,74.57279569892471
2023-03-11 14:00:00,74.57279569892471
2023-03-11 15:00:00,74.57279569892471
2023-03-11 16:00:00,74.57279569892471
2023-03-11 17:00:00,74.57279569892471
2023-03-11 18:00:00,74.57279569892471
2023-03-11 19:00:00,74.57279569892471
2023-03-11 20:00:00,74.57279569892471
2023-03-11 21:00:00,74.57279569892471
2023-03-11 22:00:00,74.57279569892471
2023-03-11 23:00:00,74.57279569892471
2023-03-12 00:00:00,74.57279569892471
2023-03-12 01:00:00,74.57279569892471
2023-03-12 02:00:00,74.57279569892471
2023-03-12 03:00:00,74.57279569892471
2023-03-12 04:00:00,74.57279569892471
2023-03-12 05:00:00,74.57279569892471
2023-03-12 06:00:00,74.57279569892471
2023-03-12 07:00:00,74.57279569892471
2023-03-12 08:00:00,74.57279569892471
2023-03-12 09:00:00,74.57279569892471
2023-03-12 10:00:00,74.57279569892471
2023-03-12 11:00:00,74.57279569892471
2023-03-12 12:00:00,74.57279569892471
2023-03-12 13:00:00,74.57279569892471
2023-03-12 14:00:00,74.57279569892471
2023-03-12 15:00:00,74.57279569892471
2023-03-12 16:00:00,74.57279569892471
2023-03-12 17:00:00,74.57279569892471
2023-03-12 18:00:00,74.57279569892471
2023-03-12 19:00:00,74.57279569892471
2023-03-12 20:00:00,74.57279569892471
2023-03-12 21:00:00,74.57279569892471
2023-03-12 22:00:00,74.57279569892471
2023-03-12 23:00:00,74.57279569892471
2023-03-13 00:00:00,74.57279569892471
2023-03-13 01:00:00,74.57279569892471
2023-03-13 02:00:00,74.57279569892471
2023-03-13 03:00:00,74.57279569892471
2023-03-13 04:00:00,74.57279569892471
2023-03-13 05:00:00,74.57279569892471
2023-03-13 06:00:00,74.57279569892471
2023-03-13 07:00:00,74.57279569892471
2023-03-13 08:00:00,74.57279569892471
2023-03-13 09:00:00,74.57279569892471
2023-03-13 10:00:00,74.57279569892471
2023-03-13 11:00:00,74.57279569892471
2023-03-13 12:00:00,74.57279569892471
2023-03-13 13:00:00,74.57279569892471
2023-03-13 14:00:00,74.57279569892471
2023-03-13 15:00:00,74.57279569892471
2023-03-13 16:00:00,74.57279569892471
2023-03-13 17:00:00,74.57279569892471
2023-03-13 18:00:00,74.57279569892471
2023-03-13 19:00:00,74.57279569892471
2023-03-13 20:00:00,74.57279569892471
2023-03-13 21:00:00,74.57279569892471
2023-03-13 22:00:00,74.57279569892471
2023-03-13 23:00:00,74.57279569892471
2023-03-14 00:00:00,74.57279569892471
2023-03-14 01:00:00,74.57279569892471
2023-03-14 02:00:00,74.57279569892471
2023-03-14 03:00:00,74.57279569892471
2023-03-14 04:00:00,74.57279569892471
2023-03-14 05:00:00,74.57279569892471
2023-03-14 06:00:00,74.57279569892471
2023-03-14 07:00:00,74.57279569892471
2023-03-14 08:00:00,74.57279569892471
2023-03-14 09:00:00,74.57279569892471
2023-03-14 10:00:00,74.57279569892471
2023-03-14 11:00:00,74.57279569892471
2023-03-14 12:00:00,74.57279569892471
2023-03-14 13:00:00,74.57279569892471
2023-03-14 14:00:00,74.57279569892471
2023-03-14 15:00:00,74.57279569892471
2023-03-14 16:00:00,74.57279569892471
2023-03-14 17:00:00,74.57279569892471
2023-03-14 18:00:00,74.57279569892471
2023-03-14 19:00:00,74.57279569892471
2023-03-14 20:00:00,74.57279569892471
2023-03-14 21:00:00,74.57279569892471
2023-03-14 22:00:00,74.57279569892471
2023-03-14 23:00:00,74.57279569892471
2023-03-15 00:00:00,74.57279569892471
2023-03-15 01:00:00,74.57279569892471
2023-03-15 02:00:00,74.57279569892471
2023-03-15 03:00:00,74.57279569892471
2023-03-15 04:00:00,74.57279569892471
2023-03-15 05:00:00,74.57279569892471
2023-03-15 06:00:00,74.57279569892471
2023-03-15 07:00:00,74.57279569892471
2023-03-15 08:00:00,74.57279569892471
2023-03-15 09:00:00,74.57279569892471
2023-03-15 10:00:00,74.57279569892471
2023-03-15 11:00:00,74.57279569892471
2023-03-15 12:00:00,74.57279569892471
2023-03-15 13:00:00,74.57279569892471
2023-03-15 14:00:00,74.57279569892471
2023-03-15 15:00:00,74.57279569892471
2023-03-15 16:00:00,74.57279569892471
2023-03-15 17:00:00,74.57279569892471
2023-03-15 18:00:00,74.57279569892471
2023-03-15 19:00:00,74.57279569892471
2023-03-15 20:00:00,74.57279569892471
2023-03-15 21:00:00,74.57279569892471
2023-03-15 22:00:00,74.57279569892471
2023-03-15 23:00:00,74.57279569892471
2023-03-16 00:00:00,74.57279569892471
2023-03-16 01:00:00,74.57279569892471
2023-03-16 02:00:00,74.57279569892471
2023-03-16 03:00:00,74.57279569892471
2023-03-16 04:00:00,74.57279569892471
2023-03-16 05:00:00,74.57279569892471
2023-03-16 06:00:00,74.57279569892471
2023-03-16 07:00:00,74.57279569892471
2023-03-16 08:00:00,74.57279569892471
2023-03-16 09:00:00,74.57279569892471
2023-03-16 10:00:00,74.57279569892471
